Theme 1 — Perceived Impact on Decision Quality,,,
Subtheme,Case,Quote,DeepL Translation
,CS2,Pelo menos eu acho que ele foi interessante na questão de você ter que parar e considerar o as consequências da sua decisão,At least I think it was interesting in the sense that you had to stop and consider the consequences of your decision.
,CS4,"Eu não posso simplesmente confiar na minha experiência porque eu sei que é uma solução que vai trazer valor, que vai trazer valor agregado no segundo momento. Eu tenho que realmente justificar. ","I can't just rely on my experience because I know it's a solution that will bring value, that will bring added value in the second moment. I really have to justify it. "
,CS4,"Ao usar o Canvas, sou obrigado a ser muito transparente sobre os artefatos com os quais estou trabalhando. Não basta estar familiarizado com a tecnologia ou confiar no conhecimento implícito que tenho por experiência própria. ","By using the Canvas, I am forced to be very transparent about the artifacts I’m working with. It is not enough to be familiar with the technology or rely on the implicit knowledge I have from experience. "
,CS4,"Esse refinamento e discussão agregam mais valor ao objetivo final, que é justificar o projeto de modelagem.","This refinement and discussion add more value to the ultimate goal, which is to justify the modeling project."
1.4. Avoiding Oversights,CS4,Me força a reconhecer os pontos que serão desafio no processo e quais são os comprometimentos que os meus stakeholders vão ter que fazer para poder adotar aquela solução. ,It forces me to recognize the points that will be challenging in the process and what commitments my stakeholders will have to make in order to adopt that solution.
,CS6, I get the idea that it well helps to not overlook certain factors in the decision making.,
1.5. Improved Collaboration & Discussion,CS2,"Inicialmente, eu tinha uma resistência em abandonar a metodologia de modelagem que vínhamos utilizando. No entanto, quando comecei a documentar as informações diretamente nos blocos do Canvas, percebi sua importância. Alguns colegas já suspeitavam que nossa estratégia precisava mudar, e o Canvas deixou isso ainda mais claro. Ele ajudou a tornar a discussão mais fácil de entender.","I was initially resistant to abandoning the modeling methodology we had been using. However, once I began documenting information directly in the Canvas blocks, I realized its importance. Some colleagues already suspected that our strategy needed to change, and the Canvas made this even clearer. It helped make the discussion easier to understand."
,CS3,Mas para discutir seria muito melhor fazer algo baseado no canvas do que só trocando ideia. ,"But to discuss it, it would be much better to do something based on the canvas than just exchanging ideas. "
,CS4,"Eu acho que é uma forma muito interessante de mostrar, principalmente para as pessoas que estão fora do time de desenvolvimento, aspectos que estão ali permeando as discussões. ","I think it's a very interesting way to show, especially to people outside the development team, aspects that are permeating the discussions. "
,CS4,"Eu tenho uma crença hoje de que, trazer o Canvas como um forma de co criar um projeto baseado em modelo, com soluções baseadas em modelos, facilita trazer para a discussão experts de áreas que poderiam ter dificuldade de comunicar comigo. ","I believe today that bringing Canvas as a way to co-create a model-based project, with model-based solutions, makes it easier to bring experts from areas that might have difficulty communicating with me into the discussion. "
,CS5 ,"So I think if you can get out of that mindset, perhaps by doing this with a bigger team, not just one person, it would be really useful because people have different opinions about choices made in a project. And that can also give rise to more productive dialogue.",
,CS6,I think it's a good conversation starter to to. Take what we had here and then work with them. ,
